Industry,GICS Sub-Industry
Energy Equipment & Services,Oil & Gas Drilling
Energy Equipment & Services,Oil & Gas Equipment & Services
"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
Chemicals,Commodity Chemicals
Chemicals,Diversified Chemicals
Chemicals,Fertilizers & Agricultural Chemicals
Chemicals,Industrial Gases
Chemicals,Specialty Chemicals
Construction Materials,Construction Materials
Containers & Packaging,Metal & Glass Containers
Containers & Packaging,Paper Packaging
Metals & Mining,Aluminum
Metals & Mining,Diversified Metals & Mining
Metals & Mining,Copper
Metals & Mining,Gold
Metals & Mining,Precious Metals & Minerals
Metals & Mining,Silver
Metals & Mining,Steel
Paper & Forest Products,Forest Products
Paper & Forest Products,Paper Products
Aerospace & Defense,Aerospace & Defense
Building Products,Building Products
Construction & Engineering,Construction & Engineering
Electrical Equipment,Electrical Components & Equipment
Electrical Equipment,Heavy Electrical Equipment
Industrial Conglomerates,Industrial Conglomerates
Machinery,Construction Machinery & Heavy Trucks
Machinery,Agricultural & Farm Machinery
Machinery,Industrial Machinery
Trading Companies & Distributors,Trading Companies & Distributors
Commercial Services & Supplies,Commercial Printing
Commercial Services & Supplies,Environmental & Facilities Services
Commercial Services & Supplies,Office Services & Supplies
Commercial Services & Supplies,Diversified Support Services
Commercial Services & Supplies,Security & Alarm Services
Professional Services,Human Resource & Employment Services
Professional Services,Research & Consulting Services
Air Freight & Logistics,Air Freight & Logistics
Airlines,Airlines
Marine,Marine
Road & Rail,Railroads
Road & Rail,Trucking
Transportation Infrastructure,Airport Services
Transportation Infrastructure,Highways & Railtracks
Transportation Infrastructure,Marine Ports & Services
Auto Components,Auto Parts & Equipment
Auto Components,Tires & Rubber
Automobiles,Automobile Manufacturers
